Teams,Starting QBR 2021,Starting QBR 2020,Starting QBR 2019,Off Ranking 2021,Off Ranking 2020,Off Ranking 2019,Def Ranking 2021,Def Ranking 2020,Def Ranking 2019,Coach Return 2021,Coach Return 2020,Coach Return 2019,Staff Return 2021
Arizona Cardinals,100.6,,,8,6,21,11,13,32,Y,,,Y
Atlanta Falcons,90.4,,,29,18,5,26,29,20,Y,,,N
Baltimore Ravens,,,,6,19,2,25,7,4,,,,
Buffalo Bills,,,,5,2,24,1,14,3,,,,
Carolina Panthers,68.2,,,30,21,19,2,18,23,Y,,,N
Chicago Bears,73.2,,,24,26,29,6,11,8,N,,,N
Cincinnati Bengals,,,,13,29,26,18,26,29,,,,
Cleveland Browns,,,,18,16,22,5,17,22,,,,
Dallas Cowboys,104.2,,,1,14,1,19,23,9,Y,,,Y
Denver Broncos,,,,19,23,28,8,21,12,,,,
Detroit Lions,91.5,,,22,20,17,29,32,31,Y,,,Y
Green Bay Packers,111.9,,,10,5,18,9,9,18,Y,,,N
Houston Texans,,,,32,13,13,31,30,28,,,,
Indianapolis Colts,,,,16,10,25,16,8,16,,,,
Jacksonville Jaguars,,,,27,28,20,20,31,24,,,,
Kansas City Chiefs,,,,3,1,6,27,16,17,,,,
LA Rams,102.9,,,9,11,7,17,1,13,Y,,,Y
Las Vegas Raiders,,,,11,8,11,14,25,19,,,,
Los Angeles Chargers,,,,4,9,10,23,10,6,,,,
Miami Dolphins,,,,25,22,27,15,20,30,,,,
Minnesota Vikings,103.1,,,12,4,16,30,27,14,N,,,N
New England Patriots,,,,15,27,15,4,15,1,,,,
New Orleans Saints,95.6,,,28,12,9,7,4,11,N,,,Y
New York Jets,,,,26,32,32,32,24,7,,,,
NY Giants,84.2,,,31,31,23,21,12,25,N,,,N
Philadelphia Eagles,87.2,,,14,24,14,10,19,10,Y,,,Y
Pittsburgh Steelers,,,,23,25,30,24,3,5,,,,
Seattle Seahawks,103.1,,,20,17,8,28,22,26,Y,,,N
SF 49's,98.7,,,7,15,4,3,5,2,Y,,,N
Tampa Bay Buccaneers,102.1,,,2,7,3,13,6,15,N,,,Y
Tennessee Titans,,,,17,3,12,12,28,21,,,,
Washington Commanders,85.9,,,21,30,31,22,2,27,Y,,,Y
